scenario,leader,leader_P,h_challenger,h_break_even,leader_break_even_h,m_challenger,m_break_even,leader_break_even_m,leader_M_per_product,leader_D_per_product
small_scale,random,853.3333333333334,topsis,0.30000000000000043,3.1334149326805387,least_busy,0.5833333333333338,0.8610830810628994,1.161328125,0.31914062499999996
baseline,hc_v6,1908.6,shortest_processing,0.8760683760683758,4.055673608159796,shortest_queue,0.39581657280772287,0.46379276827371696,2.1561353871948024,0.24656816514722835
massive_scale,ft_quality,2227.6666666666665,topsis,0.900000000000002,1.8830656522964213,topsis,0.07692307692307693,0.11348854585901812,8.811461918300164,0.5310489301212031
very_long,ft_quality,113069.0,topsis,1.588421658986175,1.9081121217746426,,,0.11637821453016525,8.592673500252058,0.5240782177254597
lifecycle,ft_quality,30601.0,,,0.723086011342155,,,0.05624553129152797,17.779190222541747,1.3829613411326427
