scenario,corner,agent,score,rank
S3,disr,train_weakest,102.062,15
S3,disr,random,57.35,10
S3,disr,optimal_assignment,29.434,6
S3,disr,a2c_mlp,79.2554,12
S3,disr,grpo_mlp,83.2506,13
S3,disr,dql_mlp,75.4992,11
S3,know,hc_v6,0.368928,3
S3,know,ft_quality,0.136235,1
S3,know,topsis,2.24569,5
S3,know,shortest_processing,0.361141,2
S3,know,reserve_specialist,8.07996,14
S3,know,shortest_queue,7.33159,12
S3,know,least_fatigued,7.33159,12
S3,know,round_robin,2.33662,6
S3,know,least_busy,7.25666,11
S3,know,train_weakest,10.4235,15
S3,know,random,6.5375,10
S3,know,optimal_assignment,1.60765,4
S3,know,a2c_mlp,4.01405,7
S3,know,grpo_mlp,5.11253,8
S3,know,dql_mlp,5.2001,9
S4,prod,hc_v6,2.45337,2
S4,prod,ft_quality,0,1
S4,prod,topsis,9.75511,3
S4,prod,shortest_processing,13.2096,4
S4,prod,reserve_specialist,31.8354,13
S4,prod,shortest_queue,25.9328,9
S4,prod,least_fatigued,25.9328,9
S4,prod,round_robin,23.1965,7
S4,prod,least_busy,34.9848,14
S4,prod,train_weakest,35.4677,15
S4,prod,random,28.2951,12
S4,prod,optimal_assignment,14.9431,5
S4,prod,a2c_mlp,22.1378,6
S4,prod,grpo_mlp,24.478,8
S4,prod,dql_mlp,26.5652,11
S4,mttr_mean,hc_v6,5.22937,6
S4,mttr_mean,ft_quality,4.33066,5
S4,mttr_mean,topsis,0,1
S4,mttr_mean,shortest_processing,1.18585,2
S4,mttr_mean,reserve_specialist,1.95792,4
S4,mttr_mean,shortest_queue,11.6926,7
S4,mttr_mean,least_fatigued,11.6926,7
S4,mttr_mean,round_robin,19.435,9
S4,mttr_mean,least_busy,30.3973,14
S4,mttr_mean,train_weakest,36.0076,15
S4,mttr_mean,random,21.2045,10
S4,mttr_mean,optimal_assignment,1.41121,3
S4,mttr_mean,a2c_mlp,24.288,11
S4,mttr_mean,grpo_mlp,28.6668,13
S4,mttr_mean,dql_mlp,26.2337,12
S4,disr,hc_v6,6.51393,3
S4,disr,ft_quality,2.22395,2
S4,disr,topsis,0,1
S4,disr,shortest_processing,16.5125,4
S4,disr,reserve_specialist,52.9299,9
S4,disr,shortest_queue,17.8662,6
S4,disr,least_fatigued,17.8662,6
S4,disr,round_robin,39.167,8
S4,disr,least_busy,101.407,14
S4,disr,train_weakest,102.174,15
S4,disr,random,59.3042,10
S4,disr,optimal_assignment,17.3253,5
S4,disr,a2c_mlp,70.3378,11
S4,disr,grpo_mlp,78.5101,13
S4,disr,dql_mlp,77.3868,12
S4,know,hc_v6,0.614344,1
S4,know,ft_quality,0.804384,2
S4,know,topsis,5.85663,7
S4,know,shortest_processing,4.6631,6
S4,know,reserve_specialist,23.7757,14
S4,know,shortest_queue,3.67969,4
S4,know,least_fatigued,3.67969,4
S4,know,round_robin,11.9345,9
S4,know,least_busy,17.0352,12
S4,know,train_weakest,31.9252,15
S4,know,random,12.7694,10
S4,know,optimal_assignment,6.74753,8
S4,know,a2c_mlp,3.63878,3
S4,know,grpo_mlp,13.9913,11
S4,know,dql_mlp,17.8976,13
S5,prod,hc_v6,3.8385,2
S5,prod,ft_quality,0.202198,1
S5,prod,topsis,12.4026,5
S5,prod,shortest_processing,5.2278,3
S5,prod,reserve_specialist,28.5393,14
S5,prod,shortest_queue,13.0124,6
S5,prod,least_fatigued,13.0124,6
S5,prod,round_robin,18.7033,9
S5,prod,least_busy,26.8499,13
S5,prod,train_weakest,42.504,15
S5,prod,random,16.2998,8
S5,prod,optimal_assignment,5.2278,3
S5,prod,a2c_mlp,25.9205,11
S5,prod,grpo_mlp,26.4716,12
S5,prod,dql_mlp,25.4117,10
S5,mttr_mean,hc_v6,3.8357,5
S5,mttr_mean,ft_quality,1.65824,4
S5,mttr_mean,topsis,1.53942,3
S5,mttr_mean,shortest_processing,0,1
S5,mttr_mean,reserve_specialist,16.0623,10
S5,mttr_mean,shortest_queue,5.70525,6
S5,mttr_mean,least_fatigued,5.70525,6
S5,mttr_mean,round_robin,11.9538,8
S5,mttr_mean,least_busy,19.8327,14
S5,mttr_mean,train_weakest,25.704,15
S5,mttr_mean,random,14.7392,9
S5,mttr_mean,optimal_assignment,0,1
S5,mttr_mean,a2c_mlp,19.5175,13
S5,mttr_mean,grpo_mlp,19.4767,12
S5,mttr_mean,dql_mlp,18.7494,11
S5,disr,hc_v6,6.41278,3
S5,disr,ft_quality,0,1
S5,disr,topsis,5.53395,2
S5,disr,shortest_processing,8.69929,6
S5,disr,reserve_specialist,69.0567,10
S5,disr,shortest_queue,8.24738,4
S5,disr,least_fatigued,8.24738,4
S5,disr,round_robin,35.3205,8
S5,disr,least_busy,90.591,14
S5,disr,train_weakest,144.397,15
S5,disr,random,41.5237,9
S5,disr,optimal_assignment,8.69929,6
S5,disr,a2c_mlp,87.318,13
S5,disr,grpo_mlp,85.9382,12
S5,disr,dql_mlp,83.1885,11
S5,know,hc_v6,1.11472,1
S5,know,ft_quality,1.63506,2
S5,know,topsis,6.2346,7
S5,know,shortest_processing,5.62757,5
S5,know,reserve_specialist,18.3413,14
S5,know,shortest_queue,3.79276,3
S5,know,least_fatigued,3.79276,3
S5,know,round_robin,11.7588,10
S5,know,least_busy,6.78583,8
S5,know,train_weakest,23.7239,15
S5,know,random,9.82858,9
S5,know,optimal_assignment,5.62757,5
S5,know,a2c_mlp,12.2487,12
