agent,scenario,hc_v6,ft_quality,topsis,shortest_processing,reserve_specialist,shortest_queue,least_fatigued,round_robin,least_busy,train_weakest,random,optimal_assignment,a2c_mlp,grpo_mlp,dql_mlp
random,S5,0,0,0,0,1,0,0,0.2588,0.99535,1,0,0,1,1,1
optimal_assignment,S5,0.2089,0.01095,0.8265,0,1,0.94145,0.94145,1,1,1,1,0,1,1,1
a2c_mlp,S5,0,0,0,0,0.2413,0,0,0,0.49635,1,0,0,0,0.2289,0.26205
grpo_mlp,S5,0,0,0,0,0.2396,0,0,0,0.53055,1,0,0,0.7711,0,0.29115
dql_mlp,S5,0,0,0,0,0.23305,0,0,0,0.606,1,0,0,0.73795,0.70885,0
hc_v6,Overall,0,0.9364,0.544,0.66095,1,1,1,1,1,1,1,0.92965,1,1,1
ft_quality,Overall,0.0636,0,0.2019,0.40005,1,1,1,1,1,1,1,0.823,1,1,1
topsis,Overall,0.456,0.7981,0,0.68445,1,1,1,1,1,1,1,0.97595,1,1,1
shortest_processing,Overall,0.33905,0.59995,0.31555,0,1,1,1,1,1,1,1,1,1,1,1
reserve_specialist,Overall,0,0,0,0,0,0.2785,0.2785,0.39365,0.99105,1,0.8914,0,0.95015,0.98835,0.9871
shortest_queue,Overall,0,0,0,0,0.7215,0,0,0.8365,1,1,0.973,0,1,1,0.99975
least_fatigued,Overall,0,0,0,0,0.7215,0,0,0.8365,1,1,0.973,0,1,1,0.99975
round_robin,Overall,0,0,0,0,0.60635,0.1635,0.1635,0,1,1,0.99885,0,0.9941,1,1
least_busy,Overall,0,0,0,0,0.00895,0,0,0,0,1,0.00015,0,0,0.0762,0.03315
train_weakest,Overall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
random,Overall,0,0,0,0,0.1086,0.027,0.027,0.00115,0.99985,1,0,0,0.94005,1,1
optimal_assignment,Overall,0.07035,0.177,0.02405,0,1,1,1,1,1,1,1,0,1,1,1
a2c_mlp,Overall,0,0,0,0,0.04985,0,0,0.0059,1,1,0.05995,0,0,0.99925,0.77995
grpo_mlp,Overall,0,0,0,0,0.01165,0,0,0,0.9238,1,0,0,0.00075,0,0.0755
dql_mlp,Overall,0,0,0,0,0.0129,0.00025,0.00025,0,0.96685,1,0,0,0.22005,0.9245,0
