h,m,winner,best_profit_ratio
0.0,0.0,ft_quality,30601.0
0.0,0.00032503698987566414,ft_quality,30424.160050251256
0.0,0.0006500739797513283,ft_quality,30247.32010050251
0.0,0.0009751109696269924,ft_quality,30070.48015075377
0.0,0.0013001479595026566,ft_quality,29893.640201005026
0.0,0.0016251849493783208,ft_quality,29716.80025125628
0.0,0.0019502219392539847,ft_quality,29539.960301507537
0.0,0.002275258929129649,ft_quality,29363.120351758793
0.0,0.002600295919005313,ft_quality,29186.280402010052
0.0,0.002925332908880977,ft_quality,29009.440452261308
0.0,0.0032503698987566415,ft_quality,28832.600502512563
0.0,0.0035754068886323055,ft_quality,28655.76055276382
0.0,0.0039004438785079695,ft_quality,28478.920603015074
0.0,0.0042254808683836334,ft_quality,28302.080653266334
0.0,0.004550517858259298,ft_quality,28125.24070351759
0.0,0.004875554848134962,ft_quality,27948.400753768845
0.0,0.005200591838010626,ft_quality,27771.5608040201
0.0,0.00552562882788629,ft_quality,27594.720854271356
0.0,0.005850665817761954,ft_quality,27417.880904522615
0.0,0.006175702807637619,ft_quality,27241.04095477387
0.0,0.006500739797513283,ft_quality,27064.201005025127
0.0,0.006825776787388947,ft_quality,26887.361055276382
0.0,0.007150813777264611,ft_quality,26710.521105527638
0.0,0.007475850767140275,ft_quality,26533.681155778893
0.0,0.007800887757015939,ft_quality,26356.841206030153
0.0,0.008125924746891604,ft_quality,26180.001256281408
0.0,0.008450961736767267,ft_quality,26003.161306532664
0.0,0.008775998726642932,ft_quality,25826.32135678392
0.0,0.009101035716518597,ft_quality,25649.481407035175
0.0,0.00942607270639426,ft_quality,25472.64145728643
0.0,0.009751109696269925,ft_quality,25295.80150753769
0.0,0.010076146686145588,ft_quality,25118.961557788945
0.0,0.010401183676021252,ft_quality,24942.1216080402
0.0,0.010726220665896917,ft_quality,24765.281658291457
0.0,0.01105125765577258,ft_quality,24588.441708542712
0.0,0.011376294645648245,ft_quality,24411.60175879397
0.0,0.011701331635523908,ft_quality,24234.761809045227
0.0,0.012026368625399573,ft_quality,24057.921859296483
0.0,0.012351405615275238,ft_quality,23881.081909547738
0.0,0.012676442605150901,ft_quality,23704.241959798994
0.0,0.013001479595026566,ft_quality,23527.402010050253
0.0,0.01332651658490223,ft_quality,23350.56206030151
0.0,0.013651553574777894,ft_quality,23173.722110552764
0.0,0.013976590564653559,ft_quality,22996.88216080402
0.0,0.014301627554529222,ft_quality,22820.042211055275
0.0,0.014626664544404887,ft_quality,22643.202261306535
0.0,0.01495170153428055,ft_quality,22466.36231155779
0.0,0.015276738524156215,ft_quality,22289.522361809046
0.0,0.015601775514031878,ft_quality,22112.682412060305
