h,m,winner,best_profit_ratio
0.0,0.0,ft_quality,113069.0
0.0,0.0006725374206517087,ft_quality,112415.58618090452
0.0,0.0013450748413034175,ft_quality,111762.17236180905
0.0,0.0020176122619551262,ft_quality,111108.75854271356
0.0,0.002690149682606835,ft_quality,110455.3447236181
0.0,0.0033626871032585437,ft_quality,109801.93090452261
0.0,0.0040352245239102524,ft_quality,109148.51708542714
0.0,0.004707761944561961,ft_quality,108495.10326633166
0.0,0.00538029936521367,ft_quality,107841.68944723617
0.0,0.006052836785865379,ft_quality,107188.2756281407
0.0,0.006725374206517087,ft_quality,106534.86180904522
0.0,0.007397911627168796,ft_quality,105881.44798994975
0.0,0.008070449047820505,ft_quality,105228.03417085427
0.0,0.008742986468472214,ft_quality,104574.6203517588
0.0,0.009415523889123922,ft_quality,103921.20653266332
0.0,0.010088061309775631,ft_quality,103267.79271356783
0.0,0.01076059873042734,ft_quality,102614.37889447236
0.0,0.011433136151079049,ft_quality,101960.96507537688
0.0,0.012105673571730757,ft_quality,101307.55125628141
0.0,0.012778210992382466,ft_quality,100654.13743718593
0.0,0.013450748413034175,ft_quality,100000.72361809046
0.0,0.014123285833685884,ft_quality,99347.30979899497
0.0,0.014795823254337592,ft_quality,98693.89597989949
0.0,0.015468360674989301,ft_quality,98040.48216080402
0.0,0.01614089809564101,ft_quality,97387.06834170854
0.0,0.01681343551629272,ft_quality,96733.65452261307
0.0,0.017485972936944427,ft_quality,96080.24070351759
0.0,0.018158510357596136,ft_quality,95426.8268844221
0.0,0.018831047778247845,ft_quality,94773.41306532663
0.0,0.019503585198899553,ft_quality,94119.99924623116
0.0,0.020176122619551262,ft_quality,93466.58542713568
0.0,0.02084866004020297,ft_quality,92813.1716080402
0.0,0.02152119746085468,ft_quality,92159.75778894473
0.0,0.02219373488150639,ft_quality,91506.34396984924
0.0,0.022866272302158097,ft_quality,90852.93015075376
0.0,0.023538809722809806,ft_quality,90199.51633165829
0.0,0.024211347143461515,ft_quality,89546.10251256282
0.0,0.024883884564113223,ft_quality,88892.68869346734
0.0,0.025556421984764932,ft_quality,88239.27487437185
0.0,0.02622895940541664,ft_quality,87585.86105527639
0.0,0.02690149682606835,ft_quality,86932.4472361809
0.0,0.02757403424672006,ft_quality,86279.03341708542
0.0,0.028246571667371767,ft_quality,85625.61959798995
0.0,0.028919109088023476,ft_quality,84972.20577889448
0.0,0.029591646508675185,ft_quality,84318.791959799
0.0,0.030264183929326893,ft_quality,83665.37814070351
0.0,0.030936721349978602,ft_quality,83011.96432160804
0.0,0.03160925877063031,ft_quality,82358.55050251256
0.0,0.03228179619128202,ft_quality,81705.13668341708
0.0,0.03295433361193373,ft_quality,81051.72286432161
0.0,0.03362687103258544,ft_quality,80398.30904522614
0.0,0.034299408453237146,ft_quality,79744.89522613065
0.0,0.034971945873888854,ft_quality,79091.48140703517
0.0,0.03564448329454056,ft_quality,78438.0675879397
0.0,0.03631702071519227,ft_quality,77784.65376884422
0.0,0.03698955813584398,ft_quality,77131.23994974873
0.0,0.03766209555649569,ft_quality,76477.82613065327
0.0,0.0383346329771474,ft_quality,75824.4123115578
0.0,0.03900717039779911,ft_quality,75170.99849246231
0.0,0.039679707818450816,ft_quality,74517.58467336683
0.0,0.040352245239102524,ft_quality,73864.17085427136
0.0,0.04102478265975423,ft_quality,73210.75703517588
0.0,0.04169732008040594,ft_quality,72557.3432160804
0.0,0.04236985750105765,ft_quality,71903.92939698492
0.0,0.04304239492170936,ft_quality,71250.51557788946
0.0,0.04371493234236107,ft_quality,70597.10175879397
0.0,0.04438746976301278,ft_quality,69943.68793969849
0.0,0.045060007183664486,ft_quality,69290.27412060302
0.0,0.045732544604316194,ft_quality,68636.86030150754
0.0,0.0464050820249679,ft_quality,67983.44648241205
0.0,0.04707761944561961,ft_quality,67330.03266331658
0.0,0.04775015686627132,ft_quality,66676.61884422111
0.0,0.04842269428692303,ft_quality,66023.20502512563
0.0,0.04909523170757474,ft_quality,65369.79120603015
0.0,0.04976776912822645,ft_quality,64716.37738693467
0.0,0.050440306548878155,ft_quality,64062.96356783919
0.0,0.051112843969529864,ft_quality,63409.54974874372
0.0,0.05178538139018157,ft_quality,62756.13592964824
0.0,0.05245791881083328,ft_quality,62102.722110552764
0.0,0.05313045623148499,ft_quality,61449.30829145729
0.0,0.0538029936521367,ft_quality,60795.89447236181
0.0,0.05447553107278841,ft_quality,60142.48065326633
0.0,0.05514806849344012,ft_quality,59489.06683417085
0.0,0.055820605914091825,ft_quality,58835.653015075375
0.0,0.056493143334743534,ft_quality,58182.2391959799
0.0,0.05716568075539524,ft_quality,57528.82537688442
0.0,0.05783821817604695,ft_quality,56875.411557788946
0.0,0.05851075559669866,ft_quality,56221.99773869346
0.0,0.05918329301735037,ft_quality,55568.583919597986
0.0,0.05985583043800208,ft_quality,54915.17010050251
0.0,0.06052836785865379,ft_quality,54261.75628140703
0.0,0.061200905279305495,ft_quality,53608.34246231156
0.0,0.061873442699957204,ft_quality,52954.92864321608
0.0,0.06254598012060891,ft_quality,52301.514824120604
0.0,0.06321851754126062,ft_quality,51648.10100502512
0.0,0.06389105496191233,ft_quality,50994.687185929644
0.0,0.06456359238256404,ft_quality,50341.27336683417
0.0,0.06523612980321575,ft_quality,49687.85954773869
0.0,0.06590866722386746,ft_quality,49034.445728643215
0.0,0.06658120464451917,ft_quality,48381.03190954774
0.0,0.06725374206517087,ft_quality,47727.61809045226
0.0,0.06792627948582258,ft_quality,47074.20427135678
0.0,0.06859881690647429,ft_quality,46420.79045226131
0.0,0.069271354327126,ft_quality,45767.376633165826
0.0,0.06994389174777771,ft_quality,45113.96281407036
0.0,0.07061642916842942,ft_quality,44460.54899497487
0.0,0.07128896658908113,ft_quality,43807.13517587939
0.0,0.07196150400973284,ft_quality,43153.72135678392
0.0,0.07263404143038454,ft_quality,42500.30753768844
0.0,0.07330657885103625,ft_quality,41846.89371859297
0.0,0.07397911627168796,ft_quality,41193.479899497484
0.0,0.07465165369233967,ft_quality,40540.066080402015
0.0,0.07532419111299138,ft_quality,39886.65226130653
0.0,0.07599672853364309,ft_quality,39233.23844221105
0.0,0.0766692659542948,ft_quality,38579.82462311558
0.0,0.0773418033749465,ft_quality,37926.410804020095
0.0,0.07801434079559821,ft_quality,37272.996984924626
0.0,0.07868687821624992,ft_quality,36619.58316582914
0.0,0.07935941563690163,ft_quality,35966.16934673367
