h,m,winner,best_profit_ratio
0.0,0.0,ft_quality,2227.6666666666665
0.0,0.0006598424866773911,ft_quality,2214.714618495676
0.0,0.0013196849733547822,ft_quality,2201.7625703246854
0.0,0.0019795274600321734,ft_quality,2188.810522153695
0.0,0.0026393699467095644,ft_quality,2175.8584739827043
0.0,0.0032992124333869554,ft_quality,2162.906425811714
0.0,0.003959054920064347,ft_quality,2149.9543776407236
0.0,0.004618897406741738,ft_quality,2137.002329469733
0.0,0.005278739893419129,ft_quality,2124.0502812987424
0.0,0.00593858238009652,ft_quality,2111.098233127752
0.0,0.006598424866773911,ft_quality,2098.1461849567613
0.0,0.007258267353451302,ft_quality,2085.1941367857708
0.0,0.007918109840128694,ft_quality,2072.24208861478
0.0,0.008577952326806084,ft_quality,2059.29004044379
0.0,0.009237794813483476,ft_quality,2046.3379922727993
0.0,0.009897637300160866,ft_quality,2033.385944101809
0.0,0.010557479786838258,ft_quality,2020.4338959308184
0.0,0.01121732227351565,ft_quality,2007.4818477598278
0.0,0.01187716476019304,ft_quality,1994.5297995888372
0.0,0.012537007246870431,ft_quality,1981.577751417847
0.0,0.013196849733547822,ft_quality,1968.6257032468563
0.0,0.013856692220225213,ft_quality,1955.6736550758658
0.0,0.014516534706902604,ft_quality,1942.7216069048754
0.0,0.015176377193579995,ft_quality,1929.7695587338849
0.0,0.015836219680257387,ft_quality,1916.8175105628943
0.0,0.016496062166934777,ft_quality,1903.8654623919037
0.0,0.017155904653612167,ft_quality,1890.9134142209132
0.0,0.01781574714028956,ft_quality,1877.9613660499226
0.0,0.01847558962696695,ft_quality,1865.0093178789323
0.0,0.01913543211364434,ft_quality,1852.0572697079417
0.0,0.01979527460032173,ft_quality,1839.1052215369514
0.0,0.020455117086999125,ft_quality,1826.1531733659608
0.0,0.021114959573676515,ft_quality,1813.2011251949702
0.0,0.021774802060353905,ft_quality,1800.2490770239797
0.0,0.0224346445470313,ft_quality,1787.2970288529891
0.0,0.02309448703370869,ft_quality,1774.3449806819985
0.0,0.02375432952038608,ft_quality,1761.3929325110082
0.0,0.02441417200706347,ft_quality,1748.4408843400176
0.0,0.025074014493740863,ft_quality,1735.488836169027
